C5375,The FTD® Light of my Life™ Bouquet,Unnamed: 2,Standard,Unnamed: 4,Deluxe,Unnamed: 6,Premium,Unnamed: 8,Exquisite,Unnamed: 10
,Standard Carnations,0.53,-0.17999999999999994,0.71,,,,,,
,Star of Bethlehem stems,0.85,,1.18,,,,,,
,Statice stems,0.59,-0.15000000000000002,0.74,,,,,,
,Stock stems,0.85,-0.13,0.98,,,,,,
,Sweet William,0.77,-0.25,1.02,,,,,,
,Eryngium thistle stems,1.4,-0.30000000000000004,1.7,,,,,,
Green,Trick Dianthus stems,0.94,-0.16000000000000014,1.1,,,,,,
,Waxflower stems,1.41,-0.19000000000000017,1.6,,,,,,
,,,,,,,,,,
,Baby Blue Eucalyptus stems,0.99,-0.010000000000000009,1,,,,,,
,Dusty Miller Stems,0.98,,1.05,,,,,,
,Gunni Eucalyptus stems,1.09,-0.18999999999999995,1.28,,,,,,
,Silver dollar Eucalyptus stems,2.1,0,2.1,,,,,,
,Green Pittosporum stems,0.67,-0.039999999999999925,0.71,,,,,,
,Israeli Ruscus stems,0.35,-0.050000000000000044,0.4,,,,,,
,Italian Variegated Pittosporum stems,0.82,-0.08000000000000007,0.9,,,,,,
,Salal tips,0.26,-0.020000000000000018,0.28,,,,,,
,Seeded Eucalyptus stems,2.1,-0.029999999999999805,2.13,,,,,,
,Variegated Pittosporum stems,0.69,-0.050000000000000044,0.74,,,,,,
,Silver dollar Eucalyptus stems,1.8,0.020000000000000018,1.78,,,,,,
,Green Pittosporum stems,0.65,0,0.65,,,,,,
,Israeli Ruscus stems,0.37,-0.020000000000000018,0.39,,,,,,
,Italian Ruscus stems,1.97,0.19999999999999996,1.77,,,,,,
,Italian Variegated Pittosporum stems,1.03,0.13,0.9,,,,,,
,Ivy vines,0.65,-0.07999999999999996,0.73,,,,,,
,Leatherleaf stems,0.17,0,0.17,,,,,,
,Lily Grass blades,0.34,0,0.34,,,,,,
,Mini Myrtle stems,0.95,-0.020000000000000018,0.97,,,,,,
,Myrtle stems,0.8,-0.07999999999999996,0.88,,,,,,
,Salal stems,0.44,-0.020000000000000018,0.46,,,,,,
,Salal tips,0.23,-0.01999999999999999,0.25,,,,,,
,Seeded Eucalyptus stems,1.8,0.020000000000000018,1.78,,,,,,
,Sword Fern fronds,0.55,0.040000000000000036,0.51,,,,,,
,Ti leaves,0.46,-0.009999999999999953,0.47,,,,,,
,Variegated Aspidistra leaves,0.74,-0.040000000000000036,0.78,,,,,,
,Variegated Pittosporum stems,0.67,-0.22999999999999998,0.9,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Hardgoods,,,,,,,,,
,Small Gold Dipped Vase,7.17,,,,,,,,
,Large Gold Dipped Vase,11.75,,,,,,,,
,Small Cinched Vase,5.12,,,,,,,,
,Large Cinched Vase,5.94,,,,,,,,
,White Wooded Box,6.96,,,,,,,,
,Brown Wood Box,7,,,,,,,,
