V1R,Classic Love Rose Bouquet,Unnamed: 2,Standard,Unnamed: 4,Deluxe,Unnamed: 6,Premium,Unnamed: 8,Exquisite,Unnamed: 10
,Large Cinched Vase,5.94,,,,,,,,
,White Wooded Box,6.96,,,,,,,,
,Brown Wood Box,7,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,1,0,1,0,1,0
,,,,,,,,,,
,,,,,1,0,,0,,0
,,,,,,0,1,0,1,0
,,,,,,,,,,
,,,,,1,0,1,0,1,0
,,,,,,,,,,
,,,,,1,0,1,0,1,0
